Completed Date , Description , Paid Out (GBP) , Paid In (GBP) , Exchange Out, Exchange In, Balance (GBP), Category, Notes
11-Sep-17, Cash at Sainsbury's  ,20,  ,  ,  ,83.31, cash, 
11-Sep-17, Hing Yip Oriental Supermarket Ltd  ,13.5,  ,  ,  ,103.31, groceries, 
11-Sep-17, Whole Foods Market  ,7.63,  ,  ,  ,116.81, groceries, 
11-Sep-17, Transport for London  ,2.9,  ,  ,  ,124.44, transport, 
11-Sep-17, Franco Manca  ,8,  ,  ,  ,127.34, restaurants, 
11-Sep-17, Holmes Place Health Clubs  ,20,  ,  ,  ,135.34, entertainment, 
08-Sep-17, Cash at E00555800000000  ,10,  ,  ,  ,155.34, cash, 
08-Sep-17, Sainsbury's Local  ,20.6,  ,  ,  ,165.34, groceries, 
06-Sep-17, Ahi Poke  ,10.45,  ,  ,  ,185.94, restaurants, 
06-Sep-17, London College of Fashion  ,0.8,  ,  ,  ,196.39, shopping, 
06-Sep-17, Ranya Fresh Fish  ,6,  ,  ,  ,197.19, groceries, 
05-Sep-17, Transport for London  ,2.4,  ,  ,  ,203.19, transport, 
05-Sep-17, Transport for London  ,5.3,  ,  ,  ,205.59, transport, 
05-Sep-17, Holmes Place Mayfair  ,4.05,  ,  ,  ,210.89, health, 
05-Sep-17, H.T. Harris  ,6,  ,  ,  ,214.94, groceries, 
05-Sep-17, Nando's  ,11.25,  ,  ,  ,220.94, restaurants, 
04-Sep-17, Yoomoo  ,9.85,  ,  ,  ,232.19, restaurants, 
04-Sep-17, La Pizzica Ltd  ,17,  ,  ,  ,242.04, restaurants, 
04-Sep-17, La Pizzica Restaurant  ,32.6,  ,  ,  ,259.04, restaurants, 
04-Sep-17, Cash at E00555800000000  ,20,  ,  ,  ,291.64, cash, 
04-Sep-17, The Clachan  ,9,  ,  ,  ,311.64, restaurants, 
01-Sep-17, To Lorenz Maresca  ,15,  ,  ,  ,320.64, transfers, 
01-Sep-17, To Christopher Maclean  ,1,,,,,,
01-Sep-17, To Lorenz Maresca  ,25,  ,  ,  ,1,,
31-Aug-17, Payment from L Maresca  ,  ,600,  ,  ,1,,
31-Aug-17, Transport for London  ,2.4,  ,  ,  ,1,,
31-Aug-17, Payment from Complete Accountin  ,  ,1,,,,,
26-Aug-17, Exchange GBP to  FX Rate £1 = €1.0748 ,50,  ,  GBP 50.00 ,  ,10, general, 
26-Aug-17, Payment from L Maresca  ,  ,60,  ,  ,60, general, MONEY TRANSFER
23-Aug-17, Exchange GBP to  FX Rate £1 = €1.0836 ,305,  ,  GBP 305.00 ,  ,0, general, 
23-Aug-17, Payment from L Maresca  ,  ,300,  ,  ,305, general, MONEY TRANSFER
11-Jul-17, Card Delivery Fee  ,5,  ,  ,  ,5, general, 
11-Jul-17, Top-up via Apple Pay  ,  ,10,  ,  ,10, general, 
